08-15-2020 13:29:00.343 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - setupBeforeTest - Application launched successfully
08-15-2020 13:29:01.339 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(.,'New Recipe')]]
08-15-2020 13:29:02.147 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(text(), 'Save')]]
08-15-2020 13:29:02.333 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - test_shouldAddMultipleNewRecipes_whenCorrectValuesEnteredOneAfterAnother - Test Passed
08-15-2020 13:29:02.349 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(.,'New Recipe')]]
08-15-2020 13:29:02.942 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(text(), 'Save')]]
08-15-2020 13:29:03.086 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - test_shouldAddMultipleNewRecipes_whenCorrectValuesEnteredOneAfterAnother - Test Passed
08-15-2020 13:29:03.107 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(.,'New Recipe')]]
08-15-2020 13:29:03.690 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (721aba12a886e968157f295aa18d8708)] -> xpath: //button[contains(text(), 'Save')]]
08-15-2020 13:29:03.803 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - test_shouldAddMultipleNewRecipes_whenCorrectValuesEnteredOneAfterAnother - Test Passed
08-15-2020 13:29:04.041 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - tearDownAfterTest - Browser terminated
08-15-2020 13:29:04.041 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - tearDownAfterTest - ----------------------------------------------
08-15-2020 13:30:53.122 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - setup - Application launched successfully
08-15-2020 13:30:53.411 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - test_shouldDisplayRecipesList_whenUserInLandingPage - Test Passed
08-15-2020 13:30:53.663 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - tearDown - Browser terminated
08-15-2020 13:30:53.663 INFO  com.sanjayautomation.recipebook.testcases.TestRecipesPage - tearDown - ----------------------------------------------
